win,lose,probability
Cleveland Cavaliers,New York Knicks,0.8827486697507694
Golden State Warriors,San Antonio Spurs,0.5795715582493188
Portland Trail Blazers,Utah Jazz,0.5833877149082979
Boston Celtics,Brooklyn Nets,0.9175494776313652
Indiana Pacers,Dallas Mavericks,0.594359920154991
Houston Rockets,Los Angeles Lakers,0.8707639451266198
Memphis Grizzlies,Minnesota Timberwolves,0.6853416466531765
Charlotte Hornets,Milwaukee Bucks,0.7613197386172175
Denver Nuggets,New Orleans Pelicans,0.5256333881225708
Miami Heat,Orlando Magic,0.6889568550210163
Oklahoma City Thunder,Philadelphia 76ers,0.973570087349748
Sacramento Kings,Phoenix Suns,0.6708993381339692
Toronto Raptors,Detroit Pistons,0.6919966215954502
Atlanta Hawks,Washington Wizards,0.6391769199402668
Boston Celtics,Chicago Bulls,0.5764435230130867
Los Angeles Clippers,Portland Trail Blazers,0.6047633762104238
San Antonio Spurs,Sacramento Kings,0.8693511664044129
Indiana Pacers,Brooklyn Nets,0.8537778979447685
Dallas Mavericks,Houston Rockets,0.5195162284357236
Detroit Pistons,Orlando Magic,0.6626641356087365
Miami Heat,Charlotte Hornets,0.5172400571444088
Golden State Warriors,New Orleans Pelicans,0.919759318862927
Oklahoma City Thunder,Phoenix Suns,0.9265644416802113
Cleveland Cavaliers,Toronto Raptors,0.5677102751735268
Utah Jazz,Los Angeles Lakers,0.9081270437456399
Chicago Bulls,Indiana Pacers,0.5075195811784025
Boston Celtics,Charlotte Hornets,0.5064272527480617
Cleveland Cavaliers,Orlando Magic,0.8444123143870403
Portland Trail Blazers,Denver Nuggets,0.7188512582493098
Milwaukee Bucks,Brooklyn Nets,0.7483944235019244
Memphis Grizzlies,New York Knicks,0.5946808810272176
Atlanta Hawks,Philadelphia 76ers,0.9563222941550459
Sacramento Kings,Minnesota Timberwolves,0.6201777940713472
San Antonio Spurs,New Orleans Pelicans,0.9160938638986627
Detroit Pistons,Milwaukee Bucks,0.7397317151370513
Houston Rockets,Dallas Mavericks,0.5244956122660398
Los Angeles Clippers,Utah Jazz,0.6944538229825475
Washington Wizards,Memphis Grizzlies,0.53752799324399
San Antonio Spurs,Miami Heat,0.7147613024730224
Oklahoma City Thunder,Los Angeles Lakers,0.9645344975201807
Golden State Warriors,Phoenix Suns,0.9529288493678592
Atlanta Hawks,Sacramento Kings,0.7579278368100283
Chicago Bulls,Brooklyn Nets,0.8463697475320249
Los Angeles Clippers,Phoenix Suns,0.9048861291624354
Toronto Raptors,Denver Nuggets,0.8266485708918174
Cleveland Cavaliers,Houston Rockets,0.7839842595705263
Detroit Pistons,New York Knicks,0.7315456134991611
Indiana Pacers,Los Angeles Lakers,0.9263463722262678
Miami Heat,Sacramento Kings,0.751690495247578
Memphis Grizzlies,Minnesota Timberwolves,0.6352172680695567
New Orleans Pelicans,Milwaukee Bucks,0.5286985372108103
Orlando Magic,Philadelphia 76ers,0.8943030438394823
Golden State Warriors,Portland Trail Blazers,0.8050853100944967
San Antonio Spurs,Utah Jazz,0.8261733311231859
Atlanta Hawks,Los Angeles Lakers,0.9427044254878341
Boston Celtics,Chicago Bulls,0.6159267843266695
Detroit Pistons,Brooklyn Nets,0.8445243337339661
Charlotte Hornets,Philadelphia 76ers,0.9697049337961999
Oklahoma City Thunder,Los Angeles Clippers,0.5548893550040122
Memphis Grizzlies,New Orleans Pelicans,0.670466528808139
Houston Rockets,New York Knicks,0.6372490967416642
Portland Trail Blazers,Phoenix Suns,0.8477854199844803
Utah Jazz,Dallas Mavericks,0.5352219529477096
Toronto Raptors,Washington Wizards,0.6985267188368673
Cleveland Cavaliers,Boston Celtics,0.6637729039788184
Golden State Warriors,Oklahoma City Thunder,0.6824974585417534
Indiana Pacers,Milwaukee Bucks,0.7120338636614958
Denver Nuggets,Minnesota Timberwolves,0.5450088379373694
Orlando Magic,Sacramento Kings,0.5611680673725489
Charlotte Hornets,Brooklyn Nets,0.8827972669151627
Chicago Bulls,New York Knicks,0.7369889790553905
Portland Trail Blazers,Dallas Mavericks,0.6019446617548913
Golden State Warriors,Los Angeles Lakers,0.9756352884792074
Los Angeles Clippers,Memphis Grizzlies,0.7075318555759367
New Orleans Pelicans,Phoenix Suns,0.6786796037941176
Toronto Raptors,Miami Heat,0.617765445324883
San Antonio Spurs,Utah Jazz,0.8013049745484586
Atlanta Hawks,Washington Wizards,0.599451238201314
Atlanta Hawks,Houston Rockets,0.6520245976715918
Detroit Pistons,Denver Nuggets,0.6957267057373234
Indiana Pacers,Chicago Bulls,0.5366390627962352
Sacramento Kings,Milwaukee Bucks,0.530279769633816
Oklahoma City Thunder,Minnesota Timberwolves,0.8811299335796005
Washington Wizards,Orlando Magic,0.580214701590446
Cleveland Cavaliers,Philadelphia 76ers,0.9785049068066847
San Antonio Spurs,Los Angeles Clippers,0.6892675654824136
Boston Celtics,Denver Nuggets,0.7753910451048132
Dallas Mavericks,Milwaukee Bucks,0.7005427570828666
Phoenix Suns,Los Angeles Lakers,0.623201936812144
Portland Trail Blazers,Memphis Grizzlies,0.6424277507691768
Utah Jazz,New York Knicks,0.6434992874469984
Toronto Raptors,Sacramento Kings,0.8207188522763006
Chicago Bulls,Orlando Magic,0.6688719901008606
Charlotte Hornets,Indiana Pacers,0.5775101688076281
Golden State Warriors,New Orleans Pelicans,0.9332935236701821
Los Angeles Clippers,Detroit Pistons,0.6569680835880505
Oklahoma City Thunder,Miami Heat,0.6462868263377455
Utah Jazz,Philadelphia 76ers,0.9285749732160883
Washington Wizards,Houston Rockets,0.5362402597701825
Minnesota Timberwolves,Brooklyn Nets,0.6505057929464262
Cleveland Cavaliers,Atlanta Hawks,0.6771364146638046
Dallas Mavericks,Los Angeles Lakers,0.86818523064002
Memphis Grizzlies,Denver Nuggets,0.6130135431229418
Portland Trail Blazers,Phoenix Suns,0.854259270900282
Sacramento Kings,New Orleans Pelicans,0.6040021027789808
Atlanta Hawks,Chicago Bulls,0.6023997139600673
Charlotte Hornets,Utah Jazz,0.6355342810717722
Golden State Warriors,Dallas Mavericks,0.8649009645335195
Indiana Pacers,Philadelphia 76ers,0.9623892434201134
Los Angeles Clippers,Portland Trail Blazers,0.5881895556484374
New York Knicks,Brooklyn Nets,0.7615674878408228
Oklahoma City Thunder,Toronto Raptors,0.5361862464391386
Orlando Magic,Minnesota Timberwolves,0.6468382272804432
Detroit Pistons,Phoenix Suns,0.8059663654169925
San Antonio Spurs,Houston Rockets,0.8300365589872937
Boston Celtics,Washington Wizards,0.6138841344221173
Golden State Warriors,Denver Nuggets,0.9028512252113462
Miami Heat,Chicago Bulls,0.5943000302965495
Milwaukee Bucks,New Orleans Pelicans,0.542364288803791
Sacramento Kings,Los Angeles Lakers,0.8569535105651942
Boston Celtics,New York Knicks,0.8044675838796317
Toronto Raptors,Charlotte Hornets,0.5992482403334112
Oklahoma City Thunder,Los Angeles Clippers,0.5845104436936072
Utah Jazz,Orlando Magic,0.5731312840678233
Indiana Pacers,Philadelphia 76ers,0.9431321182691766
Portland Trail Blazers,Sacramento Kings,0.7062495873888661
San Antonio Spurs,Detroit Pistons,0.8001981313452681
Cleveland Cavaliers,Washington Wizards,0.7567831025035383
Atlanta Hawks,Philadelphia 76ers,0.970993039646735
Chicago Bulls,Washington Wizards,0.5608313996482281
Detroit Pistons,Denver Nuggets,0.6559832194655018
San Antonio Spurs,Houston Rockets,0.8080720374334196
Boston Celtics,Indiana Pacers,0.5620752125690721
Miami Heat,Utah Jazz,0.63809523509207
Memphis Grizzlies,Milwaukee Bucks,0.6117264904531856
Los Angeles Clippers,Minnesota Timberwolves,0.8211191447136479
New Orleans Pelicans,Los Angeles Lakers,0.8199073949789426
Phoenix Suns,Brooklyn Nets,0.6222429823994295
Toronto Raptors,New York Knicks,0.8503700898229658
Cleveland Cavaliers,Charlotte Hornets,0.6821734936129561
Golden State Warriors,Phoenix Suns,0.9622559678506566
Minnesota Timberwolves,Los Angeles Lakers,0.8081167950843936
Oklahoma City Thunder,Orlando Magic,0.8224302212345396
Portland Trail Blazers,Denver Nuggets,0.7146490176475702
Oklahoma City Thunder,Detroit Pistons,0.6890786826603565
Houston Rockets,Philadelphia 76ers,0.9506482574681864
Indiana Pacers,Orlando Magic,0.6817204674541825
