date,station,temperature,humidity
2013-01-01,301,3.0,57.0
2013-01-01,201,12.0,39.0
2013-01-01,302,3.8,69.0
2013-01-01,303,2.6,78.0
2013-01-01,401,4.5,64.0
2013-01-01,402,3.8,71.0
2013-01-01,304,3.4,64.0
2013-01-01,602,10.6,59.0
2013-01-01,403,2.7,64.0
2013-01-01,305,2.9,68.0
2013-01-01,306,4.8,55.0
2013-01-01,404,2.8,72.0
2013-01-01,307,4.1,63.0
2013-01-01,801,-5.3,20.0
2013-01-01,802,-6.0,26.0
2013-01-01,803,-8.1,35.0
2013-01-01,501,-10.5,48.0
2013-01-01,101,7.7,75.0
2013-01-01,102,8.1,62.0
2013-01-01,502,-10.4,50.0
2013-01-01,103,7.5,78.0
2013-01-01,104,8.4,71.0
2013-01-01,105,8.3,69.0
2013-01-01,106,8.7,65.0
2013-01-01,503,-11.5,44.0
2013-01-01,107,10.3,63.0
2013-01-01,504,-7.2,51.0
2013-01-01,701,3.2,63.0
2013-01-01,702,3.1,67.0
2013-01-01,703,2.8,66.0
2013-01-01,108,9.1,55.0
2013-01-01,704,3.8,66.0
2013-01-01,705,4.5,65.0
2013-01-01,706,3.8,67.0
2013-01-01,707,4.0,75.0
2013-01-01,405,1.2,78.0
2013-01-01,708,3.7,62.0
2013-01-01,109,8.6,63.0
2013-01-01,804,-6.5,28.0
2013-01-01,110,7.4,61.0
2013-01-01,111,8.0,70.0
2013-01-01,903,-30.8,64.0
2013-01-01,904,-28.3,70.0
2013-01-01,905,-31.4,64.0
2013-01-01,906,-30.1,66.0
2013-01-01,907,-24.4,68.0
2013-01-01,908,-24.2,78.0
2013-01-01,909,-26.7,73.0
2013-01-01,911,-24.8,76.0
2013-01-01,1001,11.5,52.0
2013-01-01,1002,11.0,60.0
2013-01-01,1003,11.2,57.0
2013-01-01,1004,11.0,51.0
2013-01-01,1005,10.9,60.0
2013-01-01,1006,11.0,52.0
2013-01-01,1007,10.5,70.0
2013-01-01,1008,12.0,49.0
2013-01-01,112,4.7,89.0
2013-01-02,201,16.4,50.0
2013-01-02,601,14.0,70.0
2013-01-02,602,14.1,71.0
2013-01-02,401,3.4,69.0
2013-01-02,402,2.4,70.0
2013-01-02,403,1.9,70.0
2013-01-02,404,2.0,70.0
2013-01-02,801,-11.8,46.0
2013-01-02,802,-12.3,51.0
2013-01-02,803,-11.7,50.0
2013-01-02,501,-13.3,61.0
2013-01-02,101,9.9,64.0
2013-01-02,102,9.2,60.0
2013-01-02,103,9.9,68.0
2013-01-02,104,10.2,60.0
2013-01-02,105,8.8,64.0
2013-01-02,502,-11.9,58.0
2013-01-02,106,8.9,62.0
2013-01-02,503,-12.0,49.0
2013-01-02,107,13.4,60.0
